id,question_id,input_json,expected_output,is_hidden,timeout_ms
,1,"{""arr"": [1, 3, 5, 6], ""target"": 5}",2,FALSE,2000
,1,"{""arr"": [1, 3, 5, 6], ""target"": 2}",1,FALSE,2000
,1,"{""arr"": [1, 3, 5, 6], ""target"": 7}",4,TRUE,2000
,1,"{""arr"": [1], ""target"": 0}",0,TRUE,2000
,2,"{""placeholder"": true}",TBD,FALSE,2000
,2,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,3,"{""placeholder"": true}",TBD,FALSE,2000
,3,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,4,"{""placeholder"": true}",TBD,FALSE,2000
,4,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,5,"{""placeholder"": true}",TBD,FALSE,2000
,5,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,6,"{""placeholder"": true}",TBD,FALSE,2000
,6,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,7,"{""placeholder"": true}",TBD,FALSE,2000
,7,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,8,"{""placeholder"": true}",TBD,FALSE,2000
,8,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,9,"{""placeholder"": true}",TBD,FALSE,2000
,9,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,10,"{""nums"": [1, 3, 2, 6, -1, 4, 1], ""k"": 3}","[2.0, 3.6667, 2.3333, 3.0, 1.3333]",FALSE,2000
,10,"{""nums"": [5, 5, 5, 5, 5], ""k"": 2}","[5.0, 5.0, 5.0, 5.0]",TRUE,2000
,11,"{""placeholder"": true}",TBD,FALSE,2000
,11,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,12,"{""placeholder"": true}",TBD,FALSE,2000
,12,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,13,"{""arr"": [1, 3, 5, 6, 9], ""target"": 6}",3,FALSE,2000
,13,"{""arr"": [1, 3, 5, 6, 9], ""target"": 4}",-1,TRUE,2000
,14,"{""placeholder"": true}",TBD,FALSE,2000
,14,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,15,"{""nums"": [1, 1, 2, 2, 3]}",3,FALSE,2000
,15,"{""nums"": [0, 0, 1, 1, 1, 2]}",4,FALSE,2000
,15,"{""nums"": [5]}",1,TRUE,2000
,16,"{""placeholder"": true}",TBD,FALSE,2000
,16,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,17,"{""placeholder"": true}",TBD,FALSE,2000
,17,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,18,"{""placeholder"": true}",TBD,FALSE,2000
,18,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,19,"{""nums"": [1, 2, 3, 1]}",2,FALSE,2000
,19,"{""nums"": [1, 2, 1, 3, 5, 6, 4, 2]}",5,FALSE,2000
,19,"{""nums"": [5]}",0,TRUE,2000
,20,"{""s"": ""ADOBECODEBANC"", ""t"": ""ABC""}",BANC,FALSE,2000
,20,"{""s"": ""a"", ""t"": ""aa""}",,TRUE,2000
,21,"{""placeholder"": true}",TBD,FALSE,2000
,21,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,22,"{""placeholder"": true}",TBD,FALSE,2000
,22,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,23,"{""s"": ""abcabcbb""}",3,FALSE,2000
,23,"{""s"": ""bbbbb""}",1,FALSE,2000
,23,"{""s"": ""pwwkew""}",3,TRUE,2000
,23,"{""s"": """"}",0,TRUE,2000
,24,"{""placeholder"": true}",TBD,FALSE,2000
,24,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,25,"{""placeholder"": true}",TBD,FALSE,2000
,25,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,26,"{""placeholder"": true}",TBD,FALSE,2000
,26,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,27,"{""placeholder"": true}",TBD,FALSE,2000
,27,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,28,"{""placeholder"": true}",TBD,FALSE,2000
,28,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,29,"{""placeholder"": true}",TBD,FALSE,2000
,29,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,30,"{""placeholder"": true}",TBD,FALSE,2000
,30,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,31,"{""placeholder"": true}",TBD,FALSE,2000
,31,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,32,"{""placeholder"": true}",TBD,FALSE,2000
,32,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,33,"{""nums"": [1, 3, 2, 6, -1, 4, 1], ""k"": 3}","[2.0, 3.6667, 2.3333, 3.0, 1.3333]",FALSE,2000
,33,"{""nums"": [5, 5, 5, 5, 5], ""k"": 2}","[5.0, 5.0, 5.0, 5.0]",TRUE,2000
,34,"{""s"": ""ADOBECODEBANC"", ""t"": ""ABC""}",BANC,FALSE,2000
,34,"{""s"": ""a"", ""t"": ""aa""}",,TRUE,2000
,35,"{""placeholder"": true}",TBD,FALSE,2000
,35,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,36,"{""placeholder"": true}",TBD,FALSE,2000
,36,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,37,"{""s"": ""abcabcbb""}",3,FALSE,2000
,37,"{""s"": ""bbbbb""}",1,FALSE,2000
,37,"{""s"": ""pwwkew""}",3,TRUE,2000
,37,"{""s"": """"}",0,TRUE,2000
,38,"{""placeholder"": true}",TBD,FALSE,2000
,38,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,39,"{""nums"": [1, 3, -1, -3, 5, 3, 6, 7], ""k"": 3}","[3, 3, 5, 5, 6, 7]",FALSE,2000
,40,"{""nums"": [2, 7, 11, 15, 1, 8], ""target"": 9}",0 1,FALSE,2000
,40,"{""nums"": [3, 2, 4, 6], ""target"": 6}",1 2,FALSE,2000
,40,"{""nums"": [3, 3], ""target"": 6}",0 1,TRUE,2000
,41,"{""placeholder"": true}",TBD,FALSE,2000
,41,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,42,"{""placeholder"": true}",TBD,FALSE,2000
,42,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,43,"{""placeholder"": true}",TBD,FALSE,2000
,43,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,44,"{""placeholder"": true}",TBD,FALSE,2000
,44,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,45,"{""nums"": [2, 0, 2, 1, 1, 0]}",0 0 1 1 2 2,FALSE,2000
,46,"{""placeholder"": true}",TBD,FALSE,2000
,46,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,47,"{""placeholder"": true}",TBD,FALSE,2000
,47,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,48,"{""placeholder"": true}",TBD,FALSE,2000
,48,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,49,"{""placeholder"": true}",TBD,FALSE,2000
,49,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,50,"{""placeholder"": true}",TBD,FALSE,2000
,50,"{""placeholder"": true, ""hidden"": true}",TBD,TRUE,2000
,51,"{""s"": ""(([]){})""}",true,FALSE,2000
