company,difficulty,topic,question
Uber,Easy,Binary Search,"Find insert position of a target in a sorted array.  Return indices, not values."
Nvidia,Hard,Binary Search,Find the earliest day to make m bouquets of size k (bs on answer).  Solve in O(n) time.
Uber,Hard,Stacks/Queues,Count submatrices with all ones using histogram + stack.
Netflix,Medium,Stacks/Queues,Decode string with nested counts using stack.  Solve in O(n) time.
Apple,Easy,Sliding Window,Count good substrings of size three with distinct characters.
Airbnb,Easy,Linked Lists,"Remove nth node from end of list (one pass).  Return indices, not values."
Stripe,Hard,Strings,Shortest palindrome by adding characters in front.
Uber,Hard,Hash Map/Set,"Largest rectangle in histogram using stack + map of indices.  Return indices, not values."
Uber,Medium,Linked Lists,Swap nodes in pairs.
Meta,Easy,Sliding Window,"Find average of each subarray of size k.  Return indices, not values."
Uber,Easy,Strings,"Check if s is a subsequence of t.  Return indices, not values."
Amazon,Medium,Two Pointers,"Partition array around a pivot (quickselect step).  Return indices, not values."
Microsoft,Easy,Binary Search,Binary search for a target in a sorted array.  Solve in O(n) time.
Google,Medium,Linked Lists,Remove duplicates from a sorted list II (keep unique).
Salesforce,Easy,Two Pointers,"Remove duplicates from a sorted array in-place and return new length.  Return indices, not values."
Uber,Medium,Hash Map/Set,"Find duplicate subtrees in a binary tree (serialize).  Return indices, not values."
Salesforce,Hard,Stacks/Queues,"Basic calculator III with *,/ and parentheses.  Return indices, not values."
Google,Easy,Stacks/Queues,Implement a queue using two stacks.  Solve in O(n) time.
Google,Easy,Binary Search,"Find peak element (any peak) in array.  Return indices, not values."
Stripe,Medium,Sliding Window,Minimum window substring containing all chars of t.  Solve in O(n) time.
Salesforce,Hard,Binary Search,Search in a rotated array with duplicates present.  Solve in O(n) time.
Microsoft,Hard,Stacks/Queues,Trapping rain water using monotonic stack.
Amazon,Medium,Sliding Window,Length of longest substring without repeating characters.
Amazon,Medium,Linked Lists,Copy list with random pointer.
Meta,Hard,Two Pointers,Minimum removals to make mountain array.
Nvidia,Medium,Stacks/Queues,"Simplify expression with parentheses and signs.  Return indices, not values."
Microsoft,Hard,Binary Search,Smallest radius to cover houses with heaters (bs on answer).
Apple,Medium,Sliding Window,"Find all anagrams of pattern in text.  Return indices, not values."
